Month_Year,Profit,Profit_Change
23-Apr,3488.86,
23-Aug,5765.21,2276.35
23-Dec,9554.65,3789.44
23-Feb,862.3,-8692.35
23-Jan,2539.38,1677.08
23-Jul,-841.46,-3380.84
23-Jun,4999.8,5841.26
23-Mar,693.43,-4306.37
23-May,3196.43,2503
23-Nov,9362.97,6166.54
23-Oct,3469.14,-5893.83
23-Sep,8593.61,5124.47
24-Apr,4187.53,-4406.08
24-Aug,5371.64,1184.11
24-Dec,8093.04,2721.4
24-Feb,2813.84,-5279.2
24-Jan,-3189.77,-6003.61
24-Jul,3288.71,6478.48
24-Jun,3335.56,46.85
24-Mar,9930.58,6595.02
24-May,4677.09,-5253.49
24-Nov,12474.79,7797.7
24-Oct,2817.97,-9656.82
24-Sep,8220.02,5402.05
25-Apr,2991.73,-5228.29
25-Aug,2317.47,-674.26
25-Dec,17926.27,15608.8
25-Feb,5004.58,-12921.69
25-Jan,2916.02,-2088.56
25-Jul,4559.91,1643.89
25-Jun,4926.27,366.36
25-Mar,3707.89,-1218.38
25-May,8676.64,4968.75
25-Nov,4011.45,-4665.19
25-Oct,16256.92,12245.47
25-Sep,9370.12,-6886.8
26-Apr,957.54,-8412.58
26-Aug,9488.21,8530.67
26-Dec,8655.86,-832.35
26-Feb,1613.89,-7041.97
26-Jan,7231.64,5617.75
26-Jul,7006.48,-225.16
26-Jun,8246.65,1240.17
26-Mar,15013.07,6766.42
26-May,6299.92,-8713.15
26-Nov,9692.1,3392.18
26-Oct,10670.63,978.53
26-Sep,11050.82,380.19
